事件ID,事件名称,事件类型
click_settings_open_ocr,click_settings_open_ocr,普通事件
click_settings_feedback,click_settings_feedback,普通事件
click_settings_set_style_timecat,click_settings_set_style_timecat,普通事件
click_settings_open_from_outside,click_settings_open_from_outside,普通事件
click_settings_float_white_list,click_settings_float_white_list,普通事件
click_settings_search_engine,click_settings_search_engine,普通事件
click_settings_check_for_update,click_settings_check_for_update,普通事件
click_settings_how_to_use,click_settings_how_to_use,普通事件
click_settings_about,click_settings_about,普通事件
click_settings_join_qq,click_settings_join_qq,普通事件
click_settings_about_donate,click_settings_about_donate,普通事件
click_settings_share,click_settings_share,普通事件
click_settings_whitelist,click_settings_whitelist,普通事件
click_settings_doubleclick_setting,click_settings_doubleclick_setting,普通事件
click_settings_doubleclick_setting_conform,click_settings_doubleclick_setting_conform,普通事件
click_settings_donate,click_settings_donate,普通事件
click_diy_ocr_key,click_diy_ocr_key,普通事件
click_share_card_like,click_share_card_like,普通事件
click_share_card_share,click_share_card_share,普通事件
click_share_card_cancel,click_share_card_cancel,普通事件
click_share_card_dislike,click_share_card_dislike,普通事件
click_share_card_feedback,click_share_card_feedback,普通事件
click_intro_card_go,click_intro_card_go,普通事件
click_intro_card_cancel,click_intro_card_cancel,普通事件
status_accessability,status_accessability,普通事件
status_clipboard,status_clipboard,普通事件
status_show_float_window,status_show_float_window,普通事件
status_show_notify,status_show_notify,普通事件
status_total_switch,status_total_switch,普通事件
status_use_built_in_browser,status_use_built_in_browser,普通事件
status_float_view_trigger,status_float_view_trigger,普通事件
status_only_text_monitor,status_only_text_monitor,普通事件
click_ocr_pick_from_gallery,click_ocr_pick_from_gallery,普通事件
click_ocr_takepicture,click_ocr_takepicture,普通事件
click_ocr_from_share,click_ocr_from_share,普通事件
click_ocr_re_ocr,click_ocr_re_ocr,普通事件
click_ocr_to_timecat_activity,click_ocr_to_timecat_activity,普通事件
click_browser_exit,click_browser_exit,普通事件
click_browser_to_sys_browser,click_browser_to_sys_browser,普通事件
click_settings_search_engine_web,click_settings_search_engine_web,普通事件
state_browser_engines,state_browser_engines,普通事件
click_universal_copy_exit_retun,click_universal_copy_exit_retun,普通事件
click_universal_copy_exit,click_universal_copy_exit,普通事件
click_universal_copy_edit,click_universal_copy_edit,普通事件
click_universal_copy_exit_fab,click_universal_copy_exit_fab,普通事件
click_universal_copy_exit_fullscreen_action,click_universal_copy_exit_fullscreen_action,普通事件
click_universal_copy_exit_fullscreen_fab,click_universal_copy_exit_fullscreen_fab,普通事件
click_universal_copy_copy_fab,click_universal_copy_copy_fab,普通事件
click_universal_copy_copy_action,click_universal_copy_copy_action,普通事件
click_universal_copy_select_all,click_universal_copy_select_all,普通事件
click_donate_wechat_save,click_donate_wechat_save,普通事件
click_donate_alipay_save,click_donate_alipay_save,普通事件
click_timecat_copy,click_timecat_copy,普通事件
click_timecat_sharae,click_timecat_sharae,普通事件
click_timecat_translate,click_timecat_translate,普通事件
click_timecat_add_task,click_timecat_add_task,普通事件
click_timecat_drag,click_timecat_drag,普通事件
click_timecat_search,click_timecat_search,普通事件
click_timecat_switch_type,click_timecat_switch_type,普通事件
click_timecat_remain_symbol,click_timecat_remain_symbol,普通事件
click_timecat_remain_section,click_timecat_remain_section,普通事件
click_timecat_drag_selection,click_timecat_drag_selection,普通事件
click_pre_confirm,click_pre_confirm,普通事件
click_pre_confirm_in_dialog,click_pre_confirm_in_dialog,普通事件
click_pre_cancel_in_dialog,click_pre_cancel_in_dialog,普通事件
pre__floatview,pre__floatview,普通事件
pre__notify,pre__notify,普通事件
pre__trigger,pre__trigger,普通事件
click_captureresult_ocr,click_captureresult_ocr,普通事件
click_captureresult_share,click_captureresult_share,普通事件
click_captureresult_save,click_captureresult_save,普通事件
click_captureresult_timecat,click_captureresult_timecat,普通事件
click_captureresult_ocrresult,click_captureresult_ocrresult,普通事件
click_show_beyond_quote,click_show_beyond_quote,普通事件
click_set_bb_bgcolor_diy,click_set_bb_bgcolor_diy,普通事件
status_set_bb_text_size,status_set_bb_text_size,普通事件
status_set_bb_line_margin,status_set_bb_line_margin,普通事件
status_set_bb_item_margin,status_set_bb_item_margin,普通事件
status_set_bb_item_padding,status_set_bb_item_padding,普通事件
status_set_bb_alpha,status_set_bb_alpha,普通事件
status_set_bb_bgcolor,status_set_bb_bgcolor,普通事件
status_set_bb_full_screen,status_set_bb_full_screen,普通事件
status_set_bb_stick_head,status_set_bb_stick_head,普通事件
status_set_bb_stick_sharebar,status_set_bb_stick_sharebar,普通事件
status_set_bb_default_local,status_set_bb_default_local,普通事件
status_set_bb_add_blanks,status_set_bb_add_blanks,普通事件
status_set_bb_blanks_is_symbol,status_set_bb_blanks_is_symbol,普通事件
click_search_engine_add,click_search_engine_add,普通事件
click_search_engine_del,click_search_engine_del,普通事件
click_search_engine_edit,click_search_engine_edit,普通事件
status_nofity_switch,status_nofity_switch,普通事件
status_nofity_click,status_nofity_click,普通事件
status_nofity_clipboard,status_nofity_clipboard,普通事件
click_nofity_copy,click_nofity_copy,普通事件
click_nofity_screen,click_nofity_screen,普通事件
status_wl_select_all,status_wl_select_all,普通事件
click_wl_select_mode,click_wl_select_mode,普通事件
status_wl_selection,status_wl_selection,普通事件
click_fragment_switches,click_fragment_switches,普通事件
status_floatview_set_size,status_floatview_set_size,普通事件
status_floatview_set_alpha,status_floatview_set_alpha,普通事件
status_set_floatview_bgcolor,status_set_floatview_bgcolor,普通事件
status_set_floatview_is_stick,status_set_floatview_is_stick,普通事件
click_key_press_tipview_switch,click_key_press_tipview_switch,普通事件
click_key_press_tipview_click,click_key_press_tipview_click,普通事件
click_key_press_tipview_clipboard,click_key_press_tipview_clipboard,普通事件
click_key_press_tipview_copy,click_key_press_tipview_copy,普通事件
click_key_press_tipview_screen,click_key_press_tipview_screen,普通事件
