参数ID,参数名称
CLICK_MAIN_HOME,CLICK_MAIN_HOME,普通事件
CLICK_MAIN_HOME_SYSTEM_DEFAULT_CONVERSATION,CLICK_MAIN_HOME_SYSTEM_DEFAULT_CONVERSATION,普通事件
CLICK_MAIN_HOME_SYSTEM_SETTING_BOTTOM,CLICK_MAIN_HOME_SYSTEM_SETTING_BOTTOM,普通事件
CLICK_MAIN_HOME_SYSTEM_RECORD,CLICK_MAIN_HOME_SYSTEM_RECORD,普通事件
CLICK_MAIN_HOME_SYSTEM_NOVEL,CLICK_MAIN_HOME_SYSTEM_NOVEL,普通事件
CLICK_MAIN_HOME_CHATTY_NOTE_ADD,CLICK_MAIN_HOME_CHATTY_NOTE_ADD,普通事件
CLICK_MAIN_CLOUD,CLICK_MAIN_CLOUD,普通事件
CLICK_MAIN_DRAWER,CLICK_MAIN_DRAWER,普通事件
CLICK_MAIN_DRAWER_PROMODORO,CLICK_MAIN_DRAWER_PROMODORO,普通事件
CLICK_MAIN_DRAWER_RE_LOGIN,CLICK_MAIN_DRAWER_RE_LOGIN,普通事件
CLICK_MAIN_DRAWER_USER_DETAIL,CLICK_MAIN_DRAWER_USER_DETAIL,普通事件
CLICK_MAIN_DRAWER_LEADER_BOARD,CLICK_MAIN_DRAWER_LEADER_BOARD,普通事件
CLICK_MAIN_DRAWER_COLLECTION,CLICK_MAIN_DRAWER_COLLECTION,普通事件
CLICK_MAIN_DRAWER_TAGS,CLICK_MAIN_DRAWER_TAGS,普通事件
CLICK_MAIN_DRAWER_ZERO_calculator,CLICK_MAIN_DRAWER_ZERO_calculator,普通事件
CLICK_MAIN_DRAWER_ZERO_notes,CLICK_MAIN_DRAWER_ZERO_notes,普通事件
CLICK_MAIN_DRAWER_ZERO_paint,CLICK_MAIN_DRAWER_ZERO_paint,普通事件
CLICK_MAIN_DRAWER_ZERO_player,CLICK_MAIN_DRAWER_ZERO_player,普通事件
CLICK_MAIN_DRAWER_ZERO_browser,CLICK_MAIN_DRAWER_ZERO_browser,普通事件
CLICK_MAIN_DRAWER_ZERO_camera,CLICK_MAIN_DRAWER_ZERO_camera,普通事件
CLICK_MAIN_DRAWER_ZERO_dialer,CLICK_MAIN_DRAWER_ZERO_dialer,普通事件
CLICK_MAIN_DRAWER_ZERO_contacts,CLICK_MAIN_DRAWER_ZERO_contacts,普通事件
CLICK_MAIN_DRAWER_ZERO_recorder,CLICK_MAIN_DRAWER_ZERO_recorder,普通事件
CLICK_MAIN_DRAWER_ZERO_calender,CLICK_MAIN_DRAWER_ZERO_calender,普通事件
CLICK_MAIN_DRAWER_ZERO_volume,CLICK_MAIN_DRAWER_ZERO_volume,普通事件
CLICK_MAIN_DRAWER_ZERO_files,CLICK_MAIN_DRAWER_ZERO_files,普通事件
CLICK_MAIN_DRAWER_ZERO_stopwatch,CLICK_MAIN_DRAWER_ZERO_stopwatch,普通事件
CLICK_MAIN_DRAWER_ZERO_flashlight,CLICK_MAIN_DRAWER_ZERO_flashlight,普通事件
CLICK_MAIN_DRAWER_ZERO_video,CLICK_MAIN_DRAWER_ZERO_video,普通事件
CLICK_MAIN_DRAWER_ZERO_gallery,CLICK_MAIN_DRAWER_ZERO_gallery,普通事件
CLICK_MAIN_DRAWER_ZERO_launcher,CLICK_MAIN_DRAWER_ZERO_launcher,普通事件
CLICK_MAIN_DRAWER_ZERO_system,CLICK_MAIN_DRAWER_ZERO_system,普通事件
CLICK_MAIN_DRAWER_ZERO_facebook,CLICK_MAIN_DRAWER_ZERO_facebook,普通事件
CLICK_MAIN_DRAWER_ZERO_maps,CLICK_MAIN_DRAWER_ZERO_maps,普通事件
CLICK_MAIN_DRAWER_ZERO_gmail,CLICK_MAIN_DRAWER_ZERO_gmail,普通事件
CLICK_MAIN_DRAWER_ZERO_twitter,CLICK_MAIN_DRAWER_ZERO_twitter,普通事件
CLICK_MAIN_DRAWER_ZERO_youtube,CLICK_MAIN_DRAWER_ZERO_youtube,普通事件
CLICK_MAIN_DRAWER_ZERO_bilibili,CLICK_MAIN_DRAWER_ZERO_bilibili,普通事件
CLICK_MAIN_DRAWER_ZERO_settings,CLICK_MAIN_DRAWER_ZERO_settings,普通事件
CLICK_MAIN_DRAWER_GITHUB,CLICK_MAIN_DRAWER_GITHUB,普通事件
CLICK_MAIN_DRAWER_GIT,CLICK_MAIN_DRAWER_GIT,普通事件
CLICK_MAIN_DRAWER_NOTEBOOK,CLICK_MAIN_DRAWER_NOTEBOOK,普通事件
CLICK_MAIN_DRAWER_ENHANCE_NOTIFICATION,CLICK_MAIN_DRAWER_ENHANCE_NOTIFICATION,普通事件
CLICK_MAIN_DRAWER_DONATE,CLICK_MAIN_DRAWER_DONATE,普通事件
CLICK_MAIN_DRAWER_PERMISSION,CLICK_MAIN_DRAWER_PERMISSION,普通事件
CLICK_MAIN_DRAWER_SETTING,CLICK_MAIN_DRAWER_SETTING,普通事件
CLICK_MAIN_DRAWER_ABOUT,CLICK_MAIN_DRAWER_ABOUT,普通事件
CLICK_MAIN_NOTE,CLICK_MAIN_NOTE,普通事件
CLICK_MAIN_TASK,CLICK_MAIN_TASK,普通事件
CLICK_MAIN_HABIT,CLICK_MAIN_HABIT,普通事件
CLICK_MAIN_TARGET,CLICK_MAIN_TARGET,普通事件
CLICK_MAIN_SHELF,CLICK_MAIN_SHELF,普通事件
CLICK_MAIN_TABLE,CLICK_MAIN_TABLE,普通事件
CLICK_MAIN_BLOCK,CLICK_MAIN_BLOCK,普通事件
CLICK_MAIN_LIST,CLICK_MAIN_LIST,普通事件
CLICK_MAIN_DAY,CLICK_MAIN_DAY,普通事件
CLICK_MAIN_WEEK,CLICK_MAIN_WEEK,普通事件
CLICK_MAIN_MONTH,CLICK_MAIN_MONTH,普通事件
CLICK_MAIN_FLOW,CLICK_MAIN_FLOW,普通事件
CLICK_MAIN_TIMELINE,CLICK_MAIN_TIMELINE,普通事件
CLICK_MAIN_FOUR,CLICK_MAIN_FOUR,普通事件